id,first_name,player_name,dateofbirth,gender,batting_hand,bowling_type,role,country_id,country,image,Test,ODI,T20,ipl_team,retired
291,Gulbadin,Gulbadin Naib,16-03-1991,m,right-hand-bat,right-arm-fast,Batting Allrounder,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,89,78,DC,n
294,Mujeeb,Mujeeb Ur Rahman,28-03-2001,m,right-hand-bat,right-arm-offbreak,Spinner,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,1,75,60,MI,n
303,Mohammad,Mohammad Nabi,01-01-1985,m,right-hand-bat,right-arm-offbreak,Batting Allrounder,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,3,176,147,MI,n
306,Rashid,Rashid Khan,20-09-1998,m,right-hand-bat,legbreak,Spinner,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,5,105,93,GT,n
311,Hazratullah,Hazratullah Zazai,23-03-1998,m,left-hand-bat,slow-left-arm-orthodox,Middle Order Batter,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,16,45,NA,n
312,Karim,Karim Janat,11-08-1998,m,right-hand-bat,right-arm-fast,Bowling Allrounder,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,3,75,NA,n
313,Mohammad,Mohammad Shahzad,31-01-1988,m,right-hand-bat,does not bowl,Wicketkeeper,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,84,73,NA,n
344,Rahmanullah,Rahmanullah Gurbaz,28-11-2001,m,right-hand-bat,does not bowl,Wicketkeeper,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,58,68,KKR,n
370,Naveen ul,Naveen ul Haq,23-09-1999,m,right-hand-bat,right-arm-fast,Medium Pacer,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,15,48,LSG,n
375,Ibrahim,Ibrahim Zadran,12-12-2001,m,right-hand-bat,right-arm-fast,Top Order Batter,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,8,39,60,NA,n
376,Fazalhaq,Fazalhaq Farooqi,22-09-2000,m,right-hand-bat,left-arm-fast,Medium Pacer,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,35,44,RR,n
8490,Noor,Noor Ahmad,01-03-2005,m,left-hand-bat,slow-left-arm-orthodox,Spinner,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,13,22,CSK,n
22,Tim,Tim Paine,08-12-1984,m,right-hand-bat,right-arm-fast,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,35,35,12,NA,y
23,Ashton,Ashton Agar,14-10-1993,m,left-hand-bat,slow-left-arm-orthodox,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,5,22,49,NA,n
25,Aaron,Aaron Finch,17-11-1986,m,right-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,5,146,103,NA,n
26,Travis,Travis Head,29-12-1993,m,left-hand-bat,right-arm-offbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,49,69,38,KKR,n
28,Usman,Usman Khawaja,18-12-1986,m,left-hand-bat,right-arm-fast,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,73,40,9,RPS,y
29,Marnus,Marnus Labuschagne,22-06-1994,m,right-hand-bat,legbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,61,66,1,NA,n
30,Nathan,Nathan Lyon,20-11-1987,m,right-hand-bat,right-arm-offbreak,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,141,29,2,NA,n
31,Mitchell,Mitchell Marsh,20-10-1991,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,46,99,81,LSG,n
32,Shaun,Shaun Marsh,09-07-1983,m,left-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,38,73,15,PBKS,y
33,Michael,Michael Neser,29-03-1990,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,3,4,0,NA,n
34,Matt,Matt Renshaw,28-03-1996,m,left-hand-bat,right-arm-offbreak,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,14,3,0,NA,n
35,Peter,Peter Siddle,25-11-1984,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,67,20,2,NA,y
36,Mitchell,Mitchell Starc,30-01-1990,m,left-hand-bat,left-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,93,123,66,DC,n
37,Alex,Alex Carey,27-08-1991,m,left-hand-bat,does not bowl,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,30,80,39,DC,n
38,Nathan,Nathan Coulter-Nile,11-10-1987,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,32,28,RR,y
39,Chris,Chris Lynn,10-04-1990,m,right-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,4,18,MI,y
40,Glenn,Glenn Maxwell,14-10-1988,m,right-hand-bat,right-arm-offbreak,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,7,142,113,PBKS,n
41,D'Arcy,D'Arcy Short,09-08-1990,m,left-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,8,23,CSK,n
43,Andrew,Andrew Tye,12-12-1986,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,7,32,LSG,y
44,Adam,Adam Zampa,31-03-1992,m,right-hand-bat,legbreak,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,104,91,SRH,n
190,Pat,Pat Cummins,08-05-1993,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,71,90,57,SRH,n
191,Josh,Josh Hazlewood,08-01-1991,m,left-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,70,81,49,RCB,n
194,Mitchell,Mitchell Swepson,04-10-1993,m,right-hand-bat,legbreak,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,4,3,8,NA,n
195,Joe,Joe Burns,06-09-1989,m,right-hand-bat,right-arm-offbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,23,6,0,NA,n
