id,first_name,player_name,dateofbirth,gender,batting_hand,bowling_type,role,country_id,country,image,Test,ODI,T20,ipl_team,retired,player_image
291,Gulbadin,Gulbadin Naib,16-03-1991,m,right-hand-bat,right-arm-fast,Batting Allrounder,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,89,78,DC,n,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Gulbadin_Naib.jpg/500px-Gulbadin_Naib.jpg
294,Mujeeb,Mujeeb Ur Rahman,28-03-2001,m,right-hand-bat,right-arm-offbreak,Spinner,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,1,75,60,MI,n,https://upload.wikimedia.org/wikipedia/commons/e/e1/Mujeeb_Ur_Rahman_celebrating.jpg
303,Mohammad,Mohammad Nabi,01-01-1985,m,right-hand-bat,right-arm-offbreak,Batting Allrounder,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,3,176,147,MI,n,https://upload.wikimedia.org/wikipedia/commons/4/49/Mohammad_Nabi-Australia.jpg
306,Rashid,Rashid Khan,20-09-1998,m,right-hand-bat,legbreak,Spinner,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,5,105,93,GT,n,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rashid_Khan.jpg/500px-Rashid_Khan.jpg
311,Hazratullah,Hazratullah Zazai,23-03-1998,m,left-hand-bat,slow-left-arm-orthodox,Middle Order Batter,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,16,45,NA,n,
312,Karim,Karim Janat,11-08-1998,m,right-hand-bat,right-arm-fast,Bowling Allrounder,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,3,75,NA,n,
313,Mohammad,Mohammad Shahzad,31-01-1988,m,right-hand-bat,does not bowl,Wicketkeeper,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,84,73,NA,n,
344,Rahmanullah,Rahmanullah Gurbaz,28-11-2001,m,right-hand-bat,does not bowl,Wicketkeeper,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,2,58,68,KKR,n,
370,Naveen ul,Naveen ul Haq,23-09-1999,m,right-hand-bat,right-arm-fast,Medium Pacer,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,15,48,LSG,n,
375,Ibrahim,Ibrahim Zadran,12-12-2001,m,right-hand-bat,right-arm-fast,Top Order Batter,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,8,39,60,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ibrahim_Zadran.jpg/500px-Ibrahim_Zadran.jpg
376,Fazalhaq,Fazalhaq Farooqi,22-09-2000,m,right-hand-bat,left-arm-fast,Medium Pacer,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,35,44,RR,n,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Fazalhaq_Farooqi.jpg/500px-Fazalhaq_Farooqi.jpg
8490,Noor,Noor Ahmad,01-03-2005,m,left-hand-bat,slow-left-arm-orthodox,Spinner,43444,Afghanistan,https://cdn.sportmonks.com/images/countries/png/short/af.png,0,13,22,CSK,n,
22,Tim,Tim Paine,08-12-1984,m,right-hand-bat,right-arm-fast,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,35,35,12,NA,y,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Poised_for_the_start_of_Day_4_of_the_3rd_Test_of_the_2019_Ashes_Ben_Stokes%3B_Tim_Paine%3B_umpire_Joel_Wilson%3B_Usman_Khawaja_and_Matthew_Wade_%2848630622833%29_%28cropped%29.jpg/500px-thumbnail.jpg
23,Ashton,Ashton Agar,14-10-1993,m,left-hand-bat,slow-left-arm-orthodox,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,5,22,49,NA,n,https://upload.wikimedia.org/wikipedia/commons/8/8a/2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2838618210190%29_%28Agar_cropped%29.jpg
